1,Pirates of the Caribbean: The Curse of the Black Pearl,Walt Disney Pictures Jerry,"Action, Adventure, Fantasty","
Gore Verbinski","Ted Elliott,Terry Rossio,Stuart Beattie","Johnny Depp,Keira Knightley,Orlando Bloom",2003,143,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",PG,8.1
2,Fast Five,Universal Pictures,"Action,Crime,Thriller",Justin Lin,"Chris MorganGary,Scott Thompson","Vin Diesel,PaulWalker,DwayneJohnson",2011,130,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,PG,7.3
3,No Entry,SKF,"Comedy,Drama,Musical",Anees Bazmee,Aness Bazmee,"Salman Khan,Anil Kapoor,Fardeen Khan",2005,158,"Kishan and Sunny's life are troubled after their womanizing friend Prem sets them up with a hooker named Bobby, leading to web of lies and confusions.",PG,6.6
4,Heyy Babyy,AK Films,"Comedy,Drama
Comedy,
Sci-Fi",Sajid Khan,Sajid Khan,"Akshay Kumar,Fardeen Khan,Riteish Deshmukh",2007,144,Three bachelors who are compulsive womanizers find their lives turned upside down when a baby is left at their doorstep. The trio suspect each other of being the father.,PG,6
5,3 Idiots,Amirkhan Films,"Comedy,Drama",Rajkumar Hirani,"Abhijat Joshi,Rajkumar Hirani,Vidhu Vinod Chopra","Aamir Khan,Madhavan,Mona Singh",2009,170,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",PG,8.4
6,K.G.F: Chapter 2,Dharma Production,"Action,Crime,Drama",Prashanth Neel,"Harman H,Noraiz Nafi,Prashanth Neel","Yash,Sanjay Dutt,Raveena Tandon",2022,178,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",PG,8.3
7,The Avengers,Marvel,"Action, Drama,
Sci-Fi",Joss Whedon,"Joss Whedon,Zak Penn","Robert Downey Jr.,Chris Evans,Scarlett Johansson",2012,143,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,PG,8
8,The Terminator,Orion Pictures,"Action,
Sci-Fi",James Cameron,"James Cameron,
Gale Anne Hurd,
William Wisher","Arnold Schwarzenegger, 
Linda Hamilton, 
Michael Biegn",1984,107,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",R,8.1
9,Great Grand Masti,ALT,"Comedy,Drama,Fanatsy","
Indra Kumar","Tushar Hiranandani,Akash Kaushik,Madhur Sharma","Urvashi Rautela,Riteish Deshmukh,Vivek Oberoi",2016,124,"Amar, Meet and Prem go into a small town where they encounter a 'femme fatale' in the form of Ragini. Ragini is everything they had dreamed of, but she slowly turns into their worst nightmare!",R,6.7
10,Maine Pyaar Kyun Kiya,SKF,"Comedy,Drama,Romance",David Dhawan,"Sanjay Chhel,Rumi Jaffery,Sameer","Salman Khan,Sushmita Sen,Katrina Kaif",2005,145,"Samir is in love with Sonia but has unfortunately lied to her that he was already married.When she wants to meet her wife,Samir approaches his dutiful nurse Naina to play 'wife'a drama that turns out into a comedy of errors.",PG,5.6
11,The Pursuit of Happyness,Overbrook Entertainment,"Biography, Drama",Gabriele Muccino,Steve Conrad,"Will Smith, Thandiwe Newton, Jaden Smith",2006,117,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,PG-13,8
12,The Matrix,Warner Bros. Pictures,"Action,
Sci-Fi","Lana Wachowski,
Lilly Wachowski","Lana Wachowski,
Lilly Wachowski","Keanu Reaves,
Laurence Fishburne,
Carrie-Anne Moss",1999,136,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",R,8.7
13,Avengers: Endgame,Marvel,"Action, Drama, Adventure",Anthony RussoJoe Russo,Christopher MarkusStephen McFeelyStan Lee,"Robert Downey Jr., Chris Evans, Mark Ruffalo",2019,181,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",PG-13,8.4
14,K.G.F: Chapter 1,Dharma Production,"Action,Crime,Drama",Prashanth Neel,"Harman H,Noraiz Nafi,Prashanth Neel",Yash,2022,178,"In the 1970s, a gangster goes undercover as a slave to assassinate the owner of a notorious gold mine",PG,8.3
15,X-Men,Marvel,"Action, Adventure, Sci-Fi",Bryan Singer,"Tom DeSanto, Bryan Singer, David Hayter","Patrick Stewart, Hugh Jackman, Ian McKellen",2000,104,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",PG-13,7.3
16,X-Men: Apocalypse,Marvel,"Action, Adventure, Sci-Fi","
Bryan Singer","Simon Kinberg, Bryan Singer, Michael Dougherty","James McAvoy, Michael Fassbender, Jennifer Lawrence",2016,144,"In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",PG-13,6.9
17,Blade Runner,Warner Bros. Pictures,"Action, Drama,
Sci-Fi",Ridley Scott,"Hampton Fancher, 
David Webb Peoples, 
Philip K. Dick","Harrison Ford, 
Rutger Hauer, 
Sean Young",1982,117,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,R,8.1
18,The Terminator 2: Judgment Day,Orion Pictures,"Action,
Sci-Fi",James Cameron,"James Cameron,
Gale Anne Hurd,
William Wisher","Arnold Schwarzenegger, 
Linda Hamilton, 
Michael Biegn",1991,137,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.",R,8.1
19,Jumanji: Welcome to the Jungle,Columbia Pictures,"Action, Comedy, Adventure",Jake Kasdan,Chris McKennaErik SommersScott Rosenberg,Dwayne JohnsonKaren GillanKevin Hart,2017,120,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",PG-13,6.9
20,Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney Pictures Jerry,"Action, Adventure, Fantasty","
Gore Verbinski","Ted Elliott,Terry Rossio,Stuart Beattie","Johnny Depp,Keira Knightley,Orlando Bloom",2017,129,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,PG,6.5
21,Star Wars: Episode V - The Empire Strikes Back,Twentieth Century Fox,"Action, Adventure, Fantasty",Irvin Kershner,"Leigh Brackett, 
Lawrence Kasdan,
George Lucas","Mark Hamill,
Harrison Ford,
Carrie Fisher",1980,124,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",PG,8.7
22,The Matrix Resurrections,Warner Bros. Pictures,"Action,
Sci-Fi","Lana Wachowski,
Lilly Wachowski","Lana Wachowski,
Lilly Wachowski","Keanu Reaves,
Yahya Abdul-Mateen II",2021,146,"Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.",R,5.7
23,Star Wars: Episode IV - A New Hope,Twentieth Century Fox,"Action, Adventure, Fantasty",George Lucas,George Lucas,"Mark Hamill,
Harrison Ford,
Carrie Fisher",1977,121,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",PG,8.6
24,Back to the Future,Universal Pictures,"Adventure,
Comedy,
Sci-Fi",Robert Zemeckis,"Robet Zemeckis,
Bob Gale","Michael J. Fox,
Christopher Lloyd,
Lea Thompson",1985,116,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",PG,8.5
25,Alien,Twentieth Century Fox,"Horror,
Sci-Fi",Ridley Scott,"Dan O'Bannon,
Ronald Shusett","Sigourney Weaver,
Tom Skerritt,
John Hurt",1979,117,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,R,8.5
26,Raiders of th Lost Ark,Paramount Pictures,"Action, Adventure",Steven Spielberg,"Lawrence Kasdan, 
George Lucas, 
Philip Kaufman","Harrison Ford, 
Karen Allen,
Paul Freeman",1981,115,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",PG,8.4
27,Blade Runner,Warner Bros. Pictures,"Action, Drama,
Sci-Fi",Ridley Scott,"Hampton Fancher, 
David Webb Peoples, 
Philip K. Dick","Harrison Ford, 
Rutger Hauer, 
Sean Young",1982,117,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,R,8.1
28,The Terminator: Dark Fate,Orion Pictures,"Action,
Sci-Fi",James Cameron,"James Cameron,
Gale Anne Hurd,
William Wisher","Arnold Schwarzenegger, 
Linda Hamilton, 
Michael Biegn",1984,107,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.",R,8.1
29,The Princess Bride,Twentieth Century Fox,"Adventure,
Comedy,
Family",Rob Reiner,William Goldman,"Cary Elwes,
Mandy Patinkin,
Robin Wright",1987,98,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",PG,8.0
30,Star Trek II: The Wrath of Khan,Paramount Pictures,"Action,
Adventure,
Sci-Fi",Nicholas Meyer,"Gene Roddenberry,
Jack B. Sowards,
Harve Bennett","William Shatner,
Leonard Nimoy,
DeForest Kelley",1982,113,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",PG,7.7